2019-01-24-07-15;3537.0970;3539.7380;3537.0932;3538.2680;0;0;
2019-01-24-07-30;3538.1719;3547.1194;3537.8293;3546.7348;0;0;
2019-01-24-07-45;3546.7610;3547.6062;3545.6207;3545.6860;0;0;
2019-01-24-08-00;3545.6822;3545.6822;3542.1684;3542.8263;0;0;
2019-01-24-08-15;3543.6651;3543.7475;3540.5561;3542.8583;0;0;
2019-01-24-08-30;3542.8349;3544.0306;3539.8999;3541.7269;0;0;
2019-01-24-08-45;3541.7231;3544.2650;3541.0212;3543.6883;0;0;
2019-01-24-09-00;3544.2388;3544.5359;3539.8335;3539.8335;0;0;
2019-01-24-09-15;3540.1247;3540.1520;3537.2843;3539.5184;0;0;
2019-01-24-09-30;3539.1572;3541.7771;3538.1536;3541.7030;0;0;
2019-01-24-09-45;3541.7068;3544.8281;3541.7068;3544.7784;0;0;
2019-01-24-10-00;3544.8018;3545.3280;3542.3026;3542.3064;0;0;
2019-01-24-10-15;3542.3026;3543.1808;3539.9958;3539.9996;0;0;
2019-01-24-10-30;3540.4183;3540.4183;3537.4926;3538.7882;0;0;
2019-01-24-10-45;3538.8376;3541.8914;3538.7401;3540.6937;0;0;
2019-01-24-11-00;3540.4359;3559.2385;3533.8808;3548.0976;0;0;
2019-01-24-11-15;3548.3161;3563.2322;3548.3161;3559.1521;0;0;
2019-01-24-11-30;3559.5631;3562.6275;3558.5174;3559.5665;0;0;
2019-01-24-11-45;3559.5627;3566.3617;3556.5022;3558.9084;0;0;
2019-01-24-12-00;3558.5240;3558.5240;3551.1589;3557.3424;0;0;
2019-01-24-12-15;3557.3729;3561.7101;3557.3729;3560.8641;0;0;
2019-01-24-12-30;3560.9569;3567.6412;3560.0051;3567.3587;0;0;
2019-01-24-12-45;3567.4515;3568.2451;3562.2173;3567.4590;0;0;
2019-01-24-13-00;3568.3027;3574.8998;3564.3846;3568.1150;0;0;
2019-01-24-13-15;3568.1188;3568.1960;3561.2880;3561.5925;0;0;
2019-01-24-13-30;3561.7257;3563.0275;3559.9185;3561.6705;0;0;
2019-01-24-13-45;3561.9255;3562.9962;3560.4530;3562.6029;0;0;
2019-01-24-14-00;3562.8085;3567.5747;3562.6661;3565.7122;0;0;
2019-01-24-14-15;3565.6475;3573.8280;3565.6437;3572.0380;0;0;
2019-01-24-14-30;3572.2068;3572.2068;3561.9074;3562.6477;0;0;
2019-01-24-14-45;3562.6439;3562.8072;3558.5463;3562.8072;0;0;
2019-01-24-15-00;3562.8034;3564.6872;3549.6045;3551.6725;0;0;
2019-01-24-15-15;3551.7829;3555.2608;3549.3265;3552.3070;0;0;
2019-01-24-15-30;3552.8226;3556.2838;3552.8226;3555.5694;0;0;
2019-01-24-15-45;3555.5656;3557.6186;3555.4350;3556.8214;0;0;
2019-01-24-16-00;3556.8176;3557.8157;3552.7622;3553.1284;0;0;
2019-01-24-16-15;3552.6740;3557.9329;3552.6740;3556.6266;0;0;
2019-01-24-16-30;3556.6566;3557.5661;3555.1188;3557.2714;0;0;
2019-01-24-16-45;3557.2675;3558.7162;3555.8218;3558.1898;0;0;
2019-01-24-17-00;3558.1441;3559.2370;3556.5828;3559.2370;0;0;
2019-01-24-17-15;3559.2408;3560.5862;3553.7956;3553.7956;0;0;
2019-01-24-17-30;3553.6803;3554.5150;3552.5152;3553.9241;0;0;
2019-01-24-17-45;3553.9964;3557.3097;3551.5719;3557.3097;0;0;
2019-01-24-18-00;3557.3059;3563.1554;3556.7340;3563.1554;0;0;
2019-01-24-18-15;3563.1516;3563.1554;3557.1640;3559.8810;0;0;
2019-01-24-18-30;3559.9800;3560.8102;3558.0293;3559.3543;0;0;
2019-01-24-18-45;3559.5256;3560.6923;3559.0469;3560.1843;0;0;
